nameCountry,periodLabel
Germany,17th century
Germany,renaissance
Germany,16th century
Germany,baroque
Hungary,renaissance
Germany,middle ages
Russia,renaissance
Russia,modern art
England,baroque
England,mannerism
Germany,15th century
Italy,15th century
Italy,mannerism
Italy,renaissance
Italy,16th century
Italy,baroque
Italy,17th century
Italy,middle ages
Germany,mannerism
Germany,early christian art and architecture
Germany,byzantine art
United States of America,17th century
United States of America,16th century
Italy,18th century
United States of America,14th century
United States of America,15th century
United States of America,renaissance
Italy,neoclassicism
England,15th century
England,renaissance
Germany,cold war
Italy,romanticism
Italy,19th century
