Country,Historian
Germany,Aby Warburg
Germany,Ernst Steinmann
Italy,Luigi Salerno
Germany,Wolfgang Lotz
Italy,Stefano Tumidei
Russia,Leo Steinberg
Germany,Ulrich Middeldorf
Germany,Wolfgang Lotz
United States of America,Julius S. Held
Germany,Ernst Steinmann
Germany,Otto Lehmann-Brockhaus
Germany,Ulrich Middeldorf
Germany,Ernst Steinmann
Germany,Werner Cohn
Germany,Julian Kliemann
Italy,Federico Zeri
Italy,Federico Zeri
England,John Pope-Hennessy
Germany,Richard Krautheimer
Italy,Stefano Tumidei
England,Ellis Waterhouse
Germany,Ernst Kitzinger
Germany,Gustav Ludwig
Germany,Wolfgang Lotz
Italy,Luigi Salerno
Germany,Fritz Heinemann
Germany,Werner Cohn
Germany,Julian Kliemann
Germany,Ernst Steinmann
Germany,Ulrich Middeldorf
Germany,Ernst Kitzinger
Germany,Otto Lehmann-Brockhaus
Germany,Kurt Badt
Germany,Ernst Steinmann
Germany,Ernst Kitzinger
United States of America,Everett Fahy
Italy,Federico Zeri
Germany,Richard Krautheimer
Italy,Luigi Salerno
Germany,Wolfgang Lotz
Germany,Wolfgang Lotz
Italy,Stefano Tumidei
Italy,Luigi Salerno
Germany,Otto Lehmann-Brockhaus
Germany,Otto Lehmann-Brockhaus
Germany,Julian Kliemann
Germany,Werner Cohn
Germany,Ernst Steinmann
Germany,Richard Krautheimer
Germany,Ulrich Middeldorf
Italy,Federico Zeri
United States of America,Julius S. Held
Germany,Fritz Heinemann
Germany,Richard Krautheimer
Germany,Gustav Ludwig
Germany,Ernst Kitzinger
Italy,Adolfo Venturi
Germany,Otto Lehmann-Brockhaus
Germany,Otto Lehmann-Brockhaus
Italy,Federico Zeri
Germany,Ernst Steinmann
Germany,Richard Krautheimer
Italy,Eugenio Battisti
Italy,Eugenio Battisti
Germany,Ernst Kitzinger
Italy,Adolfo Venturi
Germany,Kurt Badt
Germany,Ernst Kitzinger
Germany,Ernst Steinmann
Germany,Richard Krautheimer
Germany,Richard Krautheimer
Germany,Ernst Steinmann
Germany,Otto Lehmann-Brockhaus
