Country,Historian
Germany,Ulrich Middeldorf
Germany,Ernst Steinmann
Italy,Federico Zeri
Germany,Richard Krautheimer
Germany,Kurt Badt
Germany,Otto Lehmann-Brockhaus
Germany,Wolfgang Lotz
Italy,Eugenio Battisti
Germany,Aby Warburg
Germany,Gustav Ludwig
Germany,Ernst Kitzinger
United States of America,Julius S. Held
United States of America,Everett Fahy
Italy,Adolfo Venturi
Germany,Werner Cohn
Italy,Stefano Tumidei
Russia,Leo Steinberg
England,John Pope-Hennessy
Italy,Luigi Salerno
Italy,Luisa Vertova
Germany,Fritz Heinemann
Germany,Julian Kliemann
England,Ellis Waterhouse
Hungary,Kornél Fabriczy
