Historian,Period
Otto Lehmann-Brockhaus,middle ages
Luigi Salerno,18th century
Luigi Salerno,baroque
Luigi Salerno,17th century
Ulrich Middeldorf,renaissance
Ellis Waterhouse,baroque
Ellis Waterhouse,mannerism
Stefano Tumidei,baroque
Stefano Tumidei,16th century
Stefano Tumidei,17th century
Stefano Tumidei,15th century
Stefano Tumidei,renaissance
Stefano Tumidei,neoclassicism
Stefano Tumidei,18th century
Richard Krautheimer,early christian art and architecture
Richard Krautheimer,byzantine art
Richard Krautheimer,renaissance
Richard Krautheimer,baroque
Ernst Steinmann,renaissance
Ernst Kitzinger,byzantine art
Ernst Kitzinger,middle ages
Ernst Kitzinger,early christian art and architecture
Aby Warburg,renaissance
John Pope-Hennessy,renaissance
John Pope-Hennessy,15th century
Julian Kliemann,baroque
Julian Kliemann,mannerism
Julian Kliemann,17th century
Julian Kliemann,15th century
Julian Kliemann,16th century
Julian Kliemann,renaissance
Werner Cohn,middle ages
Werner Cohn,renaissance
Ulrich Middeldorf,cold war
Luisa Vertova,neoclassicism
Luisa Vertova,19th century
Luisa Vertova,18th century
Luisa Vertova,16th century
Luisa Vertova,romanticism
Luisa Vertova,17th century
Luisa Vertova,15th century
Luisa Vertova,renaissance
Julius S. Held,16th century
Julius S. Held,17th century
Everett Fahy,renaissance
Everett Fahy,15th century
Everett Fahy,14th century
Everett Fahy,16th century
Fritz Heinemann,16th century
Fritz Heinemann,renaissance
Fritz Heinemann,baroque
Fritz Heinemann,mannerism
Fritz Heinemann,17th century
Fritz Heinemann,15th century
Wolfgang Lotz,renaissance
Wolfgang Lotz,baroque
Wolfgang Lotz,16th century
Wolfgang Lotz,17th century
Leo Steinberg,modern art
Leo Steinberg,renaissance
Korn̩l Fabriczy,renaissance
Federico Zeri,baroque
Federico Zeri,16th century
Federico Zeri,middle ages
Federico Zeri,17th century
Federico Zeri,15th century
Federico Zeri,renaissance
Federico Zeri,mannerism
Gustav Ludwig,15th century
Gustav Ludwig,16th century
Kurt Badt,16th century
Kurt Badt,middle ages
Kurt Badt,baroque
Kurt Badt,mannerism
