Country,Historian
Germany,Ernst Kitzinger
Germany,Wolfgang Lotz
Germany,Wolfgang Lotz
Germany,Ulrich Middeldorf
Germany,Otto Lehmann-Brockhaus
Germany,Ernst Kitzinger
Italy,Adolfo Venturi
Germany,Wolfgang Lotz
Germany,Ernst Steinmann
Italy,Luigi Salerno
Germany,Richard Krautheimer
Germany,Ernst Kitzinger
Germany,Wolfgang Lotz
Germany,Ernst Kitzinger
Germany,Ulrich Middeldorf
Germany,Aby Warburg
Germany,Richard Krautheimer
Germany,Ernst Steinmann
Germany,Ernst Kitzinger
Germany,Richard Krautheimer
Germany,Otto Lehmann-Brockhaus
Germany,Werner Cohn
England,John Pope-Hennessy
Italy,Eugenio Battisti
Germany,Ulrich Middeldorf
Italy,Luisa Vertova
Germany,Ernst Kitzinger
Italy,Federico Zeri
Germany,Wolfgang Lotz
Germany,Ulrich Middeldorf
Germany,Ernst Steinmann
Germany,Julian Kliemann
Germany,Otto Lehmann-Brockhaus
Italy,Eugenio Battisti
Germany,Gustav Ludwig
Italy,Luisa Vertova
Italy,Federico Zeri
Germany,Ernst Steinmann
Italy,Federico Zeri
Hungary,Kornél Fabriczy
Germany,Aby Warburg
Germany,Ulrich Middeldorf
Germany,Kurt Badt
Italy,Eugenio Battisti
Germany,Werner Cohn
Germany,Otto Lehmann-Brockhaus
Germany,Julian Kliemann
Italy,Federico Zeri
Germany,Ulrich Middeldorf
Germany,Ernst Kitzinger
England,John Pope-Hennessy
Italy,Luisa Vertova
Germany,Ernst Kitzinger
Italy,Federico Zeri
Germany,Richard Krautheimer
Germany,Aby Warburg
Italy,Federico Zeri
Germany,Ernst Steinmann
Italy,Luisa Vertova
Germany,Julian Kliemann
Germany,Ulrich Middeldorf
Germany,Otto Lehmann-Brockhaus
Italy,Federico Zeri
United States of America,Everett Fahy
Italy,Stefano Tumidei
Germany,Wolfgang Lotz
Germany,Julian Kliemann
Italy,Federico Zeri
Italy,Eugenio Battisti
Germany,Kurt Badt
Italy,Federico Zeri
United States of America,Everett Fahy
Italy,Luisa Vertova
Germany,Ernst Steinmann
Germany,Gustav Ludwig
Germany,Otto Lehmann-Brockhaus
Germany,Ernst Steinmann
Germany,Richard Krautheimer
Germany,Ernst Kitzinger
Germany,Fritz Heinemann
Germany,Wolfgang Lotz
Italy,Federico Zeri
Germany,Julian Kliemann
Italy,Federico Zeri
Germany,Fritz Heinemann
Italy,Eugenio Battisti
Germany,Richard Krautheimer
Germany,Ernst Kitzinger
Italy,Adolfo Venturi
Germany,Ernst Kitzinger
Germany,Kurt Badt
Germany,Fritz Heinemann
Germany,Richard Krautheimer
England,John Pope-Hennessy
Germany,Richard Krautheimer
Italy,Federico Zeri
Germany,Otto Lehmann-Brockhaus
Germany,Werner Cohn
Germany,Ernst Steinmann
Germany,Richard Krautheimer
Germany,Gustav Ludwig
Italy,Luigi Salerno
Germany,Fritz Heinemann
Germany,Otto Lehmann-Brockhaus
Germany,Richard Krautheimer
Germany,Otto Lehmann-Brockhaus
Germany,Ernst Steinmann
Italy,Stefano Tumidei
Germany,Richard Krautheimer
Germany,Wolfgang Lotz
Italy,Federico Zeri
Italy,Adolfo Venturi
Germany,Fritz Heinemann
Germany,Fritz Heinemann
Italy,Adolfo Venturi
Germany,Julian Kliemann
Germany,Werner Cohn
Germany,Otto Lehmann-Brockhaus
Italy,Federico Zeri
Germany,Richard Krautheimer
Germany,Richard Krautheimer
Germany,Ulrich Middeldorf
Italy,Stefano Tumidei
Germany,Kurt Badt
Italy,Federico Zeri
Germany,Aby Warburg
Germany,Ernst Kitzinger
Germany,Julian Kliemann
Germany,Ernst Kitzinger
United States of America,Julius S. Held
Germany,Ernst Steinmann
Germany,Wolfgang Lotz
Italy,Stefano Tumidei
Germany,Otto Lehmann-Brockhaus
Italy,Federico Zeri
Germany,Richard Krautheimer
Italy,Stefano Tumidei
United States of America,Everett Fahy
Italy,Federico Zeri
England,Ellis Waterhouse
Germany,Ernst Steinmann
Italy,Luisa Vertova
United States of America,Everett Fahy
Germany,Otto Lehmann-Brockhaus
Germany,Ernst Steinmann
Germany,Ulrich Middeldorf
Italy,Eugenio Battisti
Germany,Ernst Steinmann
Italy,Federico Zeri
Germany,Gustav Ludwig
Italy,Federico Zeri
Germany,Ulrich Middeldorf
Italy,Luigi Salerno
Germany,Ulrich Middeldorf
Italy,Federico Zeri
Germany,Kurt Badt
Germany,Ernst Steinmann
Italy,Federico Zeri
Germany,Wolfgang Lotz
Germany,Richard Krautheimer
Germany,Otto Lehmann-Brockhaus
Italy,Luigi Salerno
Germany,Otto Lehmann-Brockhaus
Italy,Federico Zeri
Germany,Ernst Steinmann
Germany,Richard Krautheimer
Italy,Adolfo Venturi
Germany,Aby Warburg
Germany,Ulrich Middeldorf
Germany,Ernst Kitzinger
Germany,Fritz Heinemann
United States of America,Julius S. Held
Germany,Richard Krautheimer
Germany,Ernst Kitzinger
Italy,Luigi Salerno
Germany,Ernst Kitzinger
Italy,Federico Zeri
United States of America,Everett Fahy
Germany,Wolfgang Lotz
Germany,Ernst Kitzinger
Germany,Gustav Ludwig
Germany,Richard Krautheimer
Germany,Werner Cohn
Germany,Wolfgang Lotz
Germany,Otto Lehmann-Brockhaus
Germany,Richard Krautheimer
Italy,Adolfo Venturi
Germany,Otto Lehmann-Brockhaus
Russia,Leo Steinberg
Russia,Leo Steinberg
Italy,Luigi Salerno
Germany,Ulrich Middeldorf
Italy,Stefano Tumidei
Germany,Ernst Steinmann
Germany,Ernst Steinmann
Germany,Richard Krautheimer
Germany,Otto Lehmann-Brockhaus
Germany,Otto Lehmann-Brockhaus
Germany,Ernst Steinmann
Germany,Ernst Steinmann
Germany,Gustav Ludwig
Germany,Wolfgang Lotz
Italy,Adolfo Venturi
Germany,Ernst Steinmann
United States of America,Julius S. Held
Germany,Otto Lehmann-Brockhaus
Italy,Federico Zeri
Germany,Werner Cohn
Germany,Otto Lehmann-Brockhaus
United States of America,Everett Fahy
Germany,Richard Krautheimer
Germany,Ulrich Middeldorf
Italy,Luigi Salerno
Germany,Gustav Ludwig
Germany,Ernst Steinmann
United States of America,Everett Fahy
Germany,Ernst Kitzinger
Germany,Ernst Kitzinger
Germany,Gustav Ludwig
Germany,Richard Krautheimer
Germany,Fritz Heinemann
Italy,Adolfo Venturi
Italy,Federico Zeri
Germany,Ernst Steinmann
Germany,Julian Kliemann
Italy,Eugenio Battisti
Italy,Stefano Tumidei
Germany,Aby Warburg
England,Ellis Waterhouse
United States of America,Everett Fahy
Italy,Federico Zeri
Germany,Ernst Kitzinger
Germany,Richard Krautheimer
Germany,Ernst Steinmann
Germany,Ernst Steinmann
Germany,Wolfgang Lotz
Germany,Ulrich Middeldorf
Germany,Aby Warburg
Germany,Otto Lehmann-Brockhaus
Italy,Adolfo Venturi
Italy,Luisa Vertova
Germany,Kurt Badt
Germany,Ulrich Middeldorf
Germany,Gustav Ludwig
Germany,Ernst Steinmann
Italy,Stefano Tumidei
Germany,Ulrich Middeldorf
Germany,Otto Lehmann-Brockhaus
Germany,Werner Cohn
Germany,Fritz Heinemann
Germany,Ulrich Middeldorf
Italy,Federico Zeri
